Name | Total rule apps | Nodes | Branches | Overall time | Automode time | Closed | Time per step | Memory
examples/./performance-test/AccessChain4(AccessChain4__foo_20()).JML_operation_contract.0.key.auto.key | 16933 | 8742 | 221 | 24687 | 20465 | 1 | 2.3409975 | 55557
examples/./performance-test/Disjoint(Disjoint__disjoint_01()).JML_operation_contract.0.key.auto.key | 303 | 110 | 6 | 4603 | 585 | 1 | 5.318182 | 18886
examples/./performance-test/Disjoint(Disjoint__disjoint_02()).JML_operation_contract.0.key.auto.key | 589 | 202 | 11 | 4749 | 843 | 1 | 4.1732674 | 19956
examples/./performance-test/Disjoint(Disjoint__disjoint_03()).JML_operation_contract.0.key.auto.key | 881 | 297 | 16 | 4954 | 1086 | 1 | 3.6565657 | 21081
examples/./performance-test/Disjoint(Disjoint__disjoint_04()).JML_operation_contract.0.key.auto.key | 1179 | 395 | 21 | 5515 | 1509 | 1 | 3.8202531 | 22269
examples/./performance-test/Disjoint(Disjoint__disjoint_05()).JML_operation_contract.0.key.auto.key | 1483 | 496 | 26 | 5789 | 1716 | 1 | 3.4596775 | 23520
examples/./performance-test/Disjoint(Disjoint__disjoint_06()).JML_operation_contract.0.key.auto.key | 1793 | 600 | 31 | 6110 | 1884 | 1 | 3.14 | 24850
examples/./performance-test/Disjoint(Disjoint__disjoint_07()).JML_operation_contract.0.key.auto.key | 2109 | 707 | 36 | 6171 | 2056 | 1 | 2.9080622 | 26272
examples/./performance-test/Disjoint(Disjoint__disjoint_08()).JML_operation_contract.0.key.auto.key | 2431 | 817 | 41 | 6435 | 2451 | 1 | 3.0 | 27766
examples/./performance-test/Disjoint(Disjoint__disjoint_09()).JML_operation_contract.0.key.auto.key | 2759 | 930 | 46 | 6836 | 2799 | 1 | 3.0096774 | 29325
examples/./performance-test/Disjoint(Disjoint__disjoint_10()).JML_operation_contract.0.key.auto.key | 3093 | 1046 | 51 | 7327 | 3219 | 1 | 3.0774379 | 30980
examples/./performance-test/Disjoint(Disjoint__disjoint_20()).JML_operation_contract.0.key.auto.key | 7123 | 2731 | 101 | 14224 | 10165 | 1 | 3.7220798 | 37994
examples/./performance-test/Disjoint(Disjoint__disjoint2_01()).JML_operation_contract.0.key.auto.key | 313 | 108 | 6 | 4724 | 587 | 1 | 5.435185 | 18915
examples/./performance-test/Disjoint(Disjoint__disjoint2_02()).JML_operation_contract.0.key.auto.key | 376 | 131 | 6 | 4767 | 707 | 1 | 5.3969464 | 19319
examples/./performance-test/Disjoint(Disjoint__disjoint2_03()).JML_operation_contract.0.key.auto.key | 439 | 154 | 6 | 4795 | 857 | 1 | 5.564935 | 20541
examples/./performance-test/Disjoint(Disjoint__disjoint2_04()).JML_operation_contract.0.key.auto.key | 504 | 179 | 6 | 5115 | 1066 | 1 | 5.9553075 | 20352
examples/./performance-test/Disjoint(Disjoint__disjoint2_05()).JML_operation_contract.0.key.auto.key | 571 | 206 | 6 | 5356 | 1423 | 1 | 6.907767 | 20962
examples/./performance-test/Disjoint(Disjoint__disjoint2_06()).JML_operation_contract.0.key.auto.key | 640 | 235 | 6 | 5931 | 1659 | 1 | 7.0595746 | 21657
examples/./performance-test/Disjoint(Disjoint__disjoint2_07()).JML_operation_contract.0.key.auto.key | 711 | 266 | 6 | 7174 | 2278 | 1 | 8.56391 | 22505
examples/./performance-test/Disjoint(Disjoint__disjoint2_08()).JML_operation_contract.0.key.auto.key | 784 | 299 | 6 | 6617 | 2426 | 1 | 8.113712 | 23423
examples/./performance-test/Disjoint(Disjoint__disjoint2_09()).JML_operation_contract.0.key.auto.key | 891 | 366 | 7 | 6905 | 2771 | 1 | 7.5710382 | 24686
examples/./performance-test/Disjoint(Disjoint__disjoint2_10()).JML_operation_contract.0.key.auto.key | 1024 | 459 | 6 | 9185 | 4859 | 1 | 10.586057 | 27027
examples/./performance-test/Disjoint(Disjoint__disjoint2_20()).JML_operation_contract.0.key.auto.key | 2016 | 1051 | 6 | 20296 | 16144 | 1 | 15.360609 | 37851
examples/./performance-test/Disjoint(Disjoint__xZero_01()).JML_operation_contract.0.key.auto.key | 291 | 100 | 6 | 5352 | 593 | 1 | 5.93 | 18889
examples/./performance-test/Disjoint(Disjoint__xZero_02()).JML_operation_contract.0.key.auto.key | 562 | 186 | 11 | 5108 | 847 | 1 | 4.5537634 | 19944
examples/./performance-test/Disjoint(Disjoint__xZero_03()).JML_operation_contract.0.key.auto.key | 839 | 275 | 16 | 5415 | 1034 | 1 | 3.76 | 21054
examples/./performance-test/Disjoint(Disjoint__xZero_04()).JML_operation_contract.0.key.auto.key | 1122 | 367 | 21 | 5528 | 1274 | 1 | 3.4713895 | 22213
examples/./performance-test/Disjoint(Disjoint__xZero_05()).JML_operation_contract.0.key.auto.key | 1411 | 462 | 26 | 5844 | 1653 | 1 | 3.577922 | 23470
examples/./performance-test/Disjoint(Disjoint__xZero_06()).JML_operation_contract.0.key.auto.key | 1706 | 560 | 31 | 5883 | 1680 | 1 | 3.0 | 24796
examples/./performance-test/Disjoint(Disjoint__xZero_07()).JML_operation_contract.0.key.auto.key | 2007 | 661 | 36 | 5908 | 1798 | 1 | 2.7201211 | 26199
examples/./performance-test/Disjoint(Disjoint__xZero_08()).JML_operation_contract.0.key.auto.key | 2314 | 765 | 41 | 6587 | 2177 | 1 | 2.8457515 | 27684
examples/./performance-test/Disjoint(Disjoint__xZero_09()).JML_operation_contract.0.key.auto.key | 2627 | 872 | 46 | 6987 | 2728 | 1 | 3.1284404 | 29244
examples/./performance-test/Disjoint(Disjoint__xZero_10()).JML_operation_contract.0.key.auto.key | 2946 | 982 | 51 | 7082 | 2619 | 1 | 2.667006 | 30900
examples/./performance-test/Disjoint(Disjoint__xZero_20()).JML_operation_contract.0.key.auto.key | 6824 | 2605 | 101 | 12120 | 7895 | 1 | 3.0307102 | 36709
examples/./performance-test/Dynamic2(Dynamic2__foo_01()).JML_operation_contract.0.key.auto.key | 880 | 410 | 15 | 6159 | 1773 | 1 | 4.3243904 | 22035
examples/./performance-test/Dynamic2(Dynamic2__foo_02()).JML_operation_contract.0.key.auto.key | 2701 | 1649 | 41 | 9547 | 5301 | 1 | 3.2146757 | 31726
examples/./performance-test/Dynamic2(Dynamic2__foo_03()).JML_operation_contract.0.key.auto.key | 7819 | 5539 | 115 | 13433 | 9009 | 1 | 1.6264669 | 36827
examples/./performance-test/Dynamic2(Dynamic2__foo_04()).JML_operation_contract.0.key.auto.key | 17748 | 14033 | 192 | 25201 | 21076 | 1 | 1.5018884 | 51901
examples/./performance-test/Dynamic2(Dynamic2__foo_05()).JML_operation_contract.0.key.auto.key | 50375 | 42609 | 571 | 61686 | 56648 | 1 | 1.3294843 | 94116
examples/./performance-test/Dynamic2(Dynamic2__foo_06()).JML_operation_contract.0.key.auto.key | 28075 | 19957 | 169 | 35124 | 30595 | 1 | 1.533046 | 63790
examples/./performance-test/Dynamic(Dynamic__foo_01()).JML_operation_contract.0.key.auto.key | 563 | 209 | 10 | 5031 | 945 | 1 | 4.521531 | 20527
examples/./performance-test/Dynamic(Dynamic__foo_02()).JML_operation_contract.0.key.auto.key | 1174 | 475 | 20 | 5797 | 1739 | 1 | 3.6610527 | 22602
examples/./performance-test/Dynamic(Dynamic__foo_03()).JML_operation_contract.0.key.auto.key | 2025 | 926 | 32 | 6905 | 2841 | 1 | 3.0680346 | 26458
examples/./performance-test/Dynamic(Dynamic__foo_04()).JML_operation_contract.0.key.auto.key | 3419 | 1801 | 48 | 8682 | 4622 | 1 | 2.5663521 | 32413
examples/./performance-test/Dynamic(Dynamic__foo_05()).JML_operation_contract.0.key.auto.key | 5475 | 3127 | 72 | 10637 | 6507 | 1 | 2.0809083 | 33567
